Number,ID_Plot,Person responsible,Completed,Need modified
1,117,Praseeda,Yes,Yes
2,180,Praseeda,Yes,Yes
3,316,Praseeda,Yes,Yes
4,449,Praseeda,Yes,Yes
5,511,Praseeda,Yes,Yes
6,518,Praseeda,Yes,Yes
7,646,Praseeda,Yes,Yes
8,711,Praseeda,Yes,Yes
9,841,Praseeda,Yes,Yes
10,843,Praseeda,Yes,Yes
11,907,Praseeda,Yes,Yes
12,977,Praseeda,Yes,Yes
13,1106,Praseeda,Yes,Yes
14,1108,Praseeda,Yes,Yes
15,391,Christoph,Yes,Yes
16,427,Christoph,Yes,Yes
17,494,Christoph,Yes,Yes
18,523,Christoph,Yes,Yes
19,623,Christoph,Yes,Yes
20,657,Christoph,Yes,Yes
21,850,Christoph,Yes,Yes
22,882,Christoph,Yes,Yes
23,940,Christoph,Yes,Yes
24,1049,Christoph,Yes,Yes
25,1060,Christoph,Yes,Yes
26,1124,Christoph,Yes,Yes
27,1130,Christoph,Yes,Yes
28,1134,Christoph,Yes,Yes
29,1177,Christoph,Yes,Yes
30,1251,Christoph,Yes,Yes
31,1257,Christoph,Yes,Yes
32,1258,Christoph,Yes,Yes
33,1308,Christoph,Yes,Yes
34,1331,Christoph,Yes,Yes
35,1333,Christoph,Yes,Yes
36,1378,Christoph,Yes,Yes
37,1530,Christoph,Yes,Yes
38,1656,Christoph,Yes,Yes
39,1659,Christoph,Yes,Yes
40,1730,Christoph,Yes,Yes
41,1769,Christoph,Yes,Yes
42,2033,Christoph,Yes,Yes
43,2075,Christoph,Yes,Yes
44,2091,Christoph,Yes,Yes
45,2093,Christoph,Yes,Yes
46,2140,Christoph,Yes,Yes
47,2172,Christoph,Yes,Yes
48,2269,Christoph,Yes,Yes
49,2283,Christoph,Yes,Yes
50,2284,Christoph,Yes,Yes
51,2337,Christoph,Yes,Yes
52,2341,Christoph,Yes,Yes
53,2355,Christoph,Yes,Yes
54,2356,Christoph,Yes,Yes
55,2360,Christoph,Yes,Yes
56,2363,Christoph,Yes,Yes
57,2364,Christoph,Yes,Yes
58,2475,Christoph,Yes,Yes
59,2531,Christoph,Yes,Yes
60,2534,Christoph,Yes,Yes
61,2547,Christoph,Yes,Yes
62,2548,Christoph,Yes,Yes
63,2556,Christoph,Yes,Yes
64,2593,Christoph,Yes,Yes
65,2594,Christoph,Yes,Yes
66,2600,Christoph,Yes,Yes
67,2613,Christoph,Yes,Yes
68,2635,Christoph,Yes,Yes
69,2684,Christoph,Yes,Yes
70,2755,Christoph,Yes,Yes
71,2795,Christoph,Yes,Yes
72,2857,Christoph,Yes,Yes
73,2868,Christoph,Yes,Yes
74,2869,Christoph,Yes,Yes
75,2884,Christoph,Yes,Yes
76,2935,Christoph,Yes,Yes
77,2954,Christoph,Yes,Yes
78,3012,Christoph,Yes,Yes
79,3019,Christoph,Yes,Yes
80,3023,Christoph,Yes,Yes
81,3074,Christoph,Yes,Yes
82,3079,Christoph,Yes,Yes
83,3086,Christoph,Yes,Yes
84,3092,Christoph,Yes,Yes
85,3211,Christoph,Yes,Yes
86,3214,Christoph,Yes,Yes
87,3422,Christoph,Yes,Yes
88,3475,Christoph,Yes,Yes
89,3537,Christoph,Yes,Yes
90,3550,Christoph,Yes,Yes
91,3607,Christoph,Yes,Yes
92,235,Xiang,Yes,No
93,244,Xiang,Yes,No
94,301,Xiang,Yes,No
95,367,Xiang,Yes,No
96,496,Xiang,Yes,No
97,506,Xiang,Yes,No
98,564,Xiang,Yes,No
99,696,Xiang,Yes,No
100,705,Xiang,Yes,No
101,760,Xiang,Yes,No
102,766,Xiang,Yes,No
103,828,Xiang,Yes,No
104,895,Xiang,Yes,No
105,963,Xiang,Yes,No
106,1024,Xiang,Yes,No
107,1030,Xiang,Yes,No
108,1031,Xiang,Yes,No
109,1091,Xiang,Yes,No
110,1162,Xiang,Yes,No
111,1233,Xiang,Yes,No
112,1016,Yangling,Yes,No
113,1081,Yangling,Yes,No
114,1144,Yangling,No,No
115,1235,Yangling,No,No
116,1278,Yangling,No,No
117,1292,Yangling,No,No
118,1354,Yangling,No,No
119,1358,Yangling,No,No
120,1418,Yangling,No,No
121,1427,Yangling,No,No
122,1480,Xiang,Yes,No
123,1499,Xiang,Yes,No
124,1501,Xiang,Yes,No
125,1542,Xiang,Yes,No
126,1556,Xiang,Yes,No
127,1565,Xiang,Yes,No
128,1610,Xiang,Yes,No
129,1617,Xiang,Yes,No
130,1618,Xiang,Yes,No
131,1707,Xiang,Yes,No
132,1709,Xiang,Yes,No
133,1766,Xiang,No,No
134,1832,Xiang,No,No
135,1950,Xiang,No,No
136,2012,Xiang,No,No
137,2017,Xiang,No,No
138,2018,Xiang,No,No
139,2078,Xiang,No,No
140,2106,Xiang,No,No
141,2144,Xiang,No,No
142,2372,Xiang,No,No
143,2475,Xiang,No,No
